date,close,indiv_krw
2024-11-05,2576.8798828125,388256601844
2024-11-06,2563.510009765625,1744126102
2024-11-07,2564.6298828125,-237609718184
2024-11-08,2561.14990234375,-111807635622
2024-11-11,2531.659912109375,676431971494
2024-11-12,2482.570068359375,330930757419
2024-11-13,2417.080078125,651160289777
2024-11-14,2418.860107421875,-114243190559
2024-11-15,2416.860107421875,37885068242
2024-11-18,2469.070068359375,5295971890
2024-11-19,2471.949951171875,-169127223730
2024-11-20,2482.2900390625,-91038664034
2024-11-21,2480.6298828125,-125256570329
2024-11-22,2501.239990234375,-533187240164
2024-11-25,2534.340087890625,-451456051400
2024-11-26,2520.360107421875,186167741381
2024-11-27,2503.06005859375,-33034757659
2024-11-28,2504.669921875,79756233267
2024-11-29,2455.909912109375,588152993953
2024-12-02,2454.47998046875,-320023091335
2024-12-03,2500.10009765625,-833758455862
2024-12-04,2464.0,339821650307
2024-12-05,2441.85009765625,163662995078
2024-12-06,2428.159912109375,-581630312427
2024-12-09,2360.580078125,-890887866937
2024-12-10,2417.840087890625,-420978634102
2024-12-11,2442.510009765625,-122733897879
2024-12-12,2482.1201171875,-251962013078
2024-12-13,2494.4599609375,-82134947562
2024-12-16,2488.969970703125,366771552852
2024-12-17,2456.81005859375,464712331575
2024-12-18,2484.429931640625,-468393282743
2024-12-19,2435.929931640625,802366475118
2024-12-20,2404.14990234375,789015526644
2024-12-23,2442.010009765625,-683638375514
2024-12-24,2440.52001953125,-106850051501
2024-12-26,2429.669921875,-324234764530
2024-12-27,2404.77001953125,225610035597
2024-12-30,2399.489990234375,-30624008629
2025-01-02,2398.93994140625,414314011982
2025-01-03,2441.919921875,-698474383288
2025-01-06,2488.639892578125,-537025903119
2025-01-07,2492.10009765625,-204859770038
2025-01-08,2521.050048828125,-385477969934
2025-01-09,2521.89990234375,-327023196650
2025-01-10,2515.780029296875,338109207814
2025-01-13,2489.56005859375,748555677036
2025-01-14,2497.39990234375,299229341936
2025-01-15,2496.81005859375,123099652010
2025-01-16,2527.489990234375,-575708075975
2025-01-17,2523.550048828125,286414640170
2025-01-20,2520.050048828125,276664348149
2025-01-21,2518.030029296875,53421460208
2025-01-22,2547.06005859375,-823193950261
2025-01-23,2515.489990234375,759570967501
2025-01-24,2536.800048828125,-383002909677
2025-01-31,2517.3701171875,962045687957
2025-02-03,2453.949951171875,1122017573951
2025-02-04,2481.68994140625,-293175378901
2025-02-05,2509.27001953125,-192935265838
2025-02-06,2536.75,-605983406108
2025-02-07,2521.919921875,330204748922
2025-02-10,2521.27001953125,-69984426123
2025-02-11,2539.050048828125,-469399102312
2025-02-12,2548.389892578125,-198187313204
2025-02-13,2583.169921875,-609604568118
2025-02-14,2591.050048828125,-65221006215
2025-02-17,2610.419921875,-33570169570
2025-02-18,2626.81005859375,-188369596315
2025-02-19,2671.52001953125,-1218619458109
2025-02-20,2654.06005859375,290715744783
2025-02-21,2654.580078125,2781565209
2025-02-24,2645.27001953125,192900573056
2025-02-25,2630.2900390625,312081322979
2025-02-26,2641.090087890625,-20123644445
2025-02-27,2621.75,480963608159
2025-02-28,2532.780029296875,2032382656492
2025-03-04,2528.919921875,204382469527
2025-03-05,2558.1298828125,91066500284
2025-03-06,2576.159912109375,-369304105752
2025-03-07,2563.47998046875,-194120499877
2025-03-10,2570.389892578125,209667744371
2025-03-11,2537.60009765625,492939309810
2025-03-12,2574.820068359375,-504958414021
2025-03-13,2573.639892578125,-73727742866
2025-03-14,2566.360107421875,207853019949
2025-03-17,2610.68994140625,-1180353839193
2025-03-18,2612.340087890625,-612601232385
2025-03-19,2628.6201171875,-674359406045
2025-03-20,2637.10009765625,-701303580484
2025-03-21,2643.1298828125,-537856613617
2025-03-24,2632.070068359375,-78072551149
2025-03-25,2615.81005859375,-64208792928
